disease,Patients,Positive_Outcomes,High_Risk,Medium_Risk,Low_Risk,Avg_Age,Avg_BP,Avg_Cholesterol,Positive_Rate
Acne,1,0,0,0,1,40.0,1.0,1.0,0.0
Allergic Rhinitis,6,1,0,0,6,40.333333333333336,1.3333333333333333,0.8333333333333334,0.1667
Alzheimer's Disease,5,3,5,0,0,67.0,1.6,1.6,0.6
Anemia,1,0,0,1,0,50.0,1.0,1.0,0.0
Anxiety Disorders,6,3,0,6,0,43.166666666666664,1.1666666666666667,1.1666666666666667,0.5
Appendicitis,1,0,0,0,1,55.0,1.0,1.0,0.0
Asthma,23,18,0,23,0,36.91304347826087,1.173913043478261,1.2173913043478262,0.7826
Atherosclerosis,1,0,0,1,0,35.0,1.0,1.0,0.0
Autism Spectrum Disorder (ASD),1,0,0,1,0,45.0,1.0,1.0,0.0
Bipolar Disorder,1,1,0,1,0,30.0,2.0,2.0,1.0
Bladder Cancer,1,0,1,0,0,65.0,1.0,1.0,0.0
Brain Tumor,1,0,1,0,0,40.0,1.0,1.0,0.0
Breast Cancer,1,0,1,0,0,60.0,2.0,2.0,0.0
Bronchitis,8,5,0,0,8,44.375,1.625,1.625,0.625
Cataracts,1,1,0,1,0,45.0,1.0,2.0,1.0
Cerebral Palsy,1,1,0,1,0,30.0,1.0,1.0,1.0
Chickenpox,2,2,0,0,2,40.0,1.0,2.0,1.0
Cholecystitis,1,0,0,1,0,70.0,1.0,1.0,0.0
Cholera,2,0,0,0,2,50.0,2.0,2.0,0.0
Chronic Kidney Disease,1,1,1,0,0,60.0,1.0,2.0,1.0
Chronic Obstructive Pulmonary Disease (COPD),4,2,4,0,0,67.5,1.5,2.0,0.5
Chronic Obstructive Pulmonary...,1,0,0,1,0,35.0,1.0,1.0,0.0
Cirrhosis,1,1,1,0,0,35.0,1.0,2.0,1.0
Colorectal Cancer,1,1,1,0,0,30.0,1.0,2.0,1.0
Common Cold,6,1,0,0,6,36.166666666666664,1.3333333333333333,1.1666666666666667,0.1667
Conjunctivitis (Pink Eye),1,1,0,0,1,35.0,2.0,2.0,1.0
Coronary Artery Disease,5,3,5,0,0,54.0,1.6,1.6,0.6
Crohn's Disease,5,2,0,5,0,47.0,1.6,1.8,0.4
Cystic Fibrosis,1,0,0,1,0,40.0,2.0,2.0,0.0
Dementia,1,1,1,0,0,65.0,2.0,2.0,1.0
Dengue Fever,2,0,0,0,2,30.0,1.0,1.0,0.0
Depression,6,3,0,6,0,39.833333333333336,1.3333333333333333,1.3333333333333333,0.5
Diabetes,10,5,0,10,0,47.4,1.3,1.6,0.5
Diverticulitis,1,1,0,1,0,65.0,2.0,2.0,1.0
Down Syndrome,1,1,0,1,0,50.0,2.0,2.0,1.0
Eating Disorders (Anorexia,1,1,0,1,0,40.0,2.0,2.0,1.0
Ebola Virus,2,2,2,0,0,50.0,1.0,1.0,1.0
Eczema,6,3,0,6,0,32.5,1.6666666666666667,1.5,0.5
Endometriosis,1,0,0,1,0,50.0,2.0,1.0,0.0
Epilepsy,1,0,0,1,0,35.0,2.0,2.0,0.0
Esophageal Cancer,1,0,0,1,0,55.0,1.0,1.0,0.0
Fibromyalgia,1,1,0,1,0,40.0,2.0,2.0,1.0
Gastroenteritis,6,3,0,6,0,37.0,1.3333333333333333,1.3333333333333333,0.5
Glaucoma,1,0,0,1,0,40.0,2.0,1.0,0.0
Gout,1,1,0,1,0,70.0,1.0,2.0,1.0
HIV/AIDS,2,0,2,0,0,55.0,2.0,2.0,0.0
